date,yield,Open,High,Low
2010-02-28,10.88,11.27,11.39,10.88
2010-03-31,10.55,10.88,11.29,10.55
2010-04-30,10.73,10.7,11.49,10.55
2010-05-31,10.75,10.77,11.65,10.58
2010-06-30,9.82,10.75,10.75,9.77
2010-07-31,9.04,9.82,9.9,8.83
2010-08-31,9.04,9.02,9.57,8.99
2010-09-30,9.0,9.06,9.32,9.0
2010-10-31,8.51,9.01,9.08,8.47
2010-11-30,9.14,8.57,9.14,8.4
2010-12-31,8.61,9.07,9.34,8.61
2011-01-31,9.67,8.61,9.84,8.49
2011-02-28,9.7,9.68,9.89,9.25
2011-03-31,9.53,9.71,10.05,9.37
2011-04-30,9.35,9.56,9.67,9.19
2011-05-31,9.65,9.34,9.73,9.34
2011-06-30,9.67,9.63,9.78,9.37
2011-07-31,9.7,9.74,10.0,9.55
2011-08-31,8.97,9.71,9.85,8.88
2011-09-30,9.61,8.93,10.02,8.81
2011-10-31,9.74,9.69,10.39,9.39
2011-11-30,9.93,9.83,10.77,9.57
2011-12-31,10.0,10.01,10.2,9.58
2012-01-31,9.76,10.19,10.39,9.58
2012-02-29,9.49,9.81,9.89,9.41
2012-03-31,9.64,9.51,9.94,9.49
2012-04-30,9.26,9.68,9.89,9.23
2012-05-31,9.26,9.29,9.56,9.1
2012-06-30,8.77,9.31,9.39,8.66
2012-07-31,8.14,8.81,8.91,7.91
2012-08-31,8.17,8.05,8.48,7.93
2012-09-30,8.11,8.22,8.48,7.92
2012-10-31,7.96,8.14,8.5,7.95
2012-11-30,6.87,7.89,7.99,6.87
2012-12-31,6.55,6.9,6.9,6.41
2013-01-31,6.7,6.57,6.96,6.48
2013-02-28,6.7,6.78,6.98,6.62
2013-03-31,7.04,6.74,7.24,5.82
2013-04-30,6.17,7.09,7.21,6.16
2013-05-31,6.77,6.16,6.88,5.88
2013-06-30,8.56,7.1,9.49,6.74
2013-07-31,9.14,8.72,9.5,8.13
2013-08-31,10.03,9.12,10.85,8.65
2013-09-30,8.98,10.08,10.08,8.42
2013-10-31,8.75,8.91,9.02,8.19
2013-11-30,9.17,8.75,9.3,8.65
2013-12-31,10.27,9.16,10.82,9.16
2014-01-31,10.1,10.27,10.92,9.72
2014-02-28,10.27,10.2,10.53,9.77
2014-03-31,10.02,10.3,11.17,10.01
2014-04-30,9.18,10.08,10.46,9.13
2014-05-31,8.98,9.23,9.52,8.8
2014-06-30,8.74,8.94,9.29,8.53
2014-07-31,8.88,8.7,9.29,8.51
2014-08-31,8.93,8.88,9.66,8.87
2014-09-30,9.72,8.91,9.98,8.73
2014-10-31,8.48,9.72,9.72,8.39
2014-11-30,7.6,8.63,8.84,7.59
2014-12-31,8.09,7.73,9.0,7.49
2015-01-31,6.99,7.94,8.08,6.74
2015-02-28,8.21,7.07,8.53,6.98
2015-03-31,8.21,8.53,8.53,7.87
2015-04-30,9.14,8.22,9.5,7.96
2015-05-31,8.96,9.25,9.38,8.75
2015-06-30,9.19,9.09,9.77,8.93
2015-07-31,9.34,9.21,9.87,9.08
2015-08-31,9.94,9.44,10.71,9.32
2015-09-30,10.76,9.97,10.88,9.95
2015-10-31,9.54,10.74,10.74,9.41
2015-11-30,9.9,9.51,10.24,9.04
2015-12-31,10.47,9.9,10.91,9.81
2016-01-31,10.54,10.58,11.28,10.5
2016-02-29,10.32,10.56,11.2,10.26
2016-03-31,9.71,10.34,10.44,9.69
2016-04-30,9.04,9.83,9.83,8.89
2016-05-31,9.69,9.04,10.47,9.01
2016-06-30,9.03,9.86,10.02,9.02
2016-07-31,9.51,9.04,10.23,8.81
2016-08-31,9.6,9.49,9.96,9.33
2016-09-30,9.5,9.61,10.01,9.24
2016-10-31,9.82,9.49,10.09,9.36
2016-11-30,10.85,9.84,11.64,9.8
2016-12-31,11.09,10.87,11.65,10.68
2017-01-31,10.69,11.22,11.74,10.68
2017-02-28,10.6,10.76,10.9,10.42
2017-03-31,10.65,10.69,11.23,10.41
2017-04-30,10.23,10.67,10.93,10.1
2017-05-31,10.19,10.31,10.74,10.12
2017-06-30,10.28,10.25,10.43,10.04
2017-07-31,10.34,10.33,10.66,10.2
2017-08-31,10.36,10.34,10.66,9.94
2017-09-30,10.69,10.35,11.0,10.32
2017-10-31,11.51,10.72,11.99,10.68
2017-11-30,12.01,11.65,12.87,11.43
2017-12-31,11.43,12.24,12.59,11.3
2018-01-31,11.4,11.45,12.51,11.32
2018-02-28,11.58,11.42,12.07,11.32
2018-03-31,12.19,11.61,12.93,11.53
2018-04-30,12.24,12.22,13.3,12.15
2018-05-31,13.85,12.92,15.87,12.32
2018-06-30,16.3,13.85,18.08,13.85
2018-07-31,17.94,16.32,19.07,16.18
2018-08-31,20.7,18.01,22.82,17.71
2018-09-30,17.31,21.39,21.39,17.05
2018-10-31,17.73,17.45,20.74,16.99
2018-11-30,16.2,17.73,18.29,15.48
2018-12-31,15.83,16.7,18.03,15.83
2019-01-31,13.84,15.83,16.97,13.79
2019-02-28,14.47,13.9,15.07,13.82
2019-03-31,17.86,14.47,18.72,14.47
2019-04-30,18.95,17.86,19.04,16.54
2019-05-31,18.16,18.95,20.82,18.14
2019-06-30,16.2,18.12,18.12,15.36
2019-07-31,14.91,16.08,16.79,14.85
2019-08-31,15.69,15.21,16.5,14.3
2019-09-30,13.2,15.58,15.58,13.09
2019-10-31,12.67,13.2,15.54,12.45
2019-11-30,12.18,12.53,12.59,11.85
2019-12-31,12.0,12.08,12.44,11.81
2020-01-31,10.0,12.0,12.2,9.85
2020-02-29,12.8,10.02,13.03,9.98
2020-03-31,13.12,12.4,13.66,10.97
2020-04-30,11.46,13.12,14.56,11.39
2020-05-31,12.24,11.7,12.87,11.49
2020-06-30,11.5,11.41,11.99,11.25
2020-07-31,12.7,11.59,12.97,11.5
2020-08-31,13.56,12.64,15.92,12.6
2020-09-30,12.93,13.25,13.76,12.64
2020-10-31,14.1,12.93,14.44,12.57
2020-11-30,11.93,14.18,14.43,11.52
2020-12-31,12.51,11.93,13.16,11.92
2021-01-31,12.57,12.69,13.17,12.53
2021-02-28,12.98,12.59,13.17,12.5
2021-03-31,18.08,13.03,20.0,12.84
2021-04-30,17.72,18.08,18.08,17.12
2021-05-31,17.82,17.78,17.92,17.25
2021-06-30,16.68,17.84,18.21,16.35
2021-07-31,16.57,16.68,17.06,16.5
2021-08-31,16.47,16.6,17.3,16.36
2021-09-30,17.73,16.47,18.05,16.3
2021-10-31,19.08,17.77,19.94,17.68
2021-11-30,20.2,19.02,21.38,18.35
2021-12-31,23.05,20.26,23.5,20.11
2022-01-31,22.49,23.09,23.81,21.23
2022-02-28,23.07,22.41,23.63,20.65
2022-03-31,23.96,22.89,27.04,22.79
2022-04-30,20.27,23.96,25.09,19.89
2022-05-31,21.56,20.49,24.24,20.49
2022-06-30,18.54,21.49,26.18,18.02
2022-07-31,17.15,18.56,18.56,16.64
2022-08-31,12.63,17.18,17.18,12.59
2022-09-30,11.65,12.66,12.66,10.99
2022-10-31,10.99,11.71,13.11,9.97
2022-11-30,10.65,10.99,12.25,10.48
2022-12-31,9.87,10.56,11.04,7.77
2023-01-31,10.52,9.91,10.52,8.08
2023-02-28,9.99,10.46,11.43,9.91
2023-03-31,10.31,10.07,12.19,10.07
2023-04-30,12.6,10.31,14.32,9.91
2023-05-31,10.23,13.01,17.42,8.67
2023-06-30,16.34,10.23,18.66,10.23
2023-07-31,18.41,16.21,19.04,15.95
2023-08-31,18.45,18.01,20.09,17.65
2023-09-30,25.52,22.02,26.85,20.13
2023-10-31,26.37,25.7,27.27,24.89
2023-11-30,24.27,26.36,27.45,24.24
2023-12-31,23.69,24.36,24.36,22.45
2024-01-31,25.1,24.02,25.8,23.7
2024-02-29,25.26,25.1,25.59,23.23
2024-03-31,25.24,25.31,26.74,24.52
2024-04-30,26.55,25.14,27.33,24.58
2024-05-31,25.95,26.92,27.22,25.51
2024-06-30,26.52,26.16,27.35,25.77
2024-07-31,26.58,26.55,26.73,25.46
2024-08-31,26.73,28.43,28.925,26.7
2024-09-30,26.62,26.58,27.57,26.38
2024-10-31,28.46,26.52,28.55,26.52
2024-11-30,27.35,28.59,29.23,27.38
2024-12-31,27.15,27.54,28.69,27.19
